,Shares,Cost(Euro/share),Profit(% post 2 years)
38062,Share-OOCkkx,615.1,2
38063,Share-H78vwF,546.9,15
38064,Share-cIyalQ,205.8,19
38065,Share-sDBTVY,872.7,3
38066,Share-298t9Q,482.1,16
38067,Share-oAquEp,253.0,4
38068,Share-N7JJCx,78.4,10
38069,Share-4Uqr3E,941.3,8
38070,Share-pJlUJU,113.9,4
38071,Share-BqcHmN,794.4,14
38072,Share-WHUT6O,124.4,10
38073,Share-NOioGf,666.5,6
38074,Share-y3gO4X,293.0,6
38075,Share-mQWIQm,319.2,3
38076,Share-Ml4Sp7,662.5,1
38077,Share-bggQom,751.2,10
38078,Share-Dyl4Gi,726.2,8
38079,Share-PFNEIy,775.6,9
38080,Share-YkApou,107.2,9
38081,Share-ZKWbX7,134.6,8
38082,Share-EqORkJ,261.3,6
38083,Share-UJlTwe,657.5,2
38084,Share-wATecm,886.5,4
38085,Share-WG5SjI,682.2,6
38086,Share-Y6PIbB,946.7,11
38087,Share-Ver1D2,355.2,3
38088,Share-nAwHcC,797.9,18
38089,Share-EPg5CQ,817.6,6
38090,Share-N5mU2l,690.7,12
38091,Share-JhY7gi,624.0,13
38092,Share-gKiQOf,18.4,11
38093,Share-YUqP6G,487.3,18
38094,Share-R4ZAVo,495.0,4
38095,Share-iV33us,323.3,8
38096,Share-xmF1rZ,747.6,4
38097,Share-heQLn4,886.0,3
38098,Share-TUpyLM,774.8,11
38099,Share-KLXvNI,186.8,9
38100,Share-IVa0r7,667.9,14
38101,Share-47hlLC,150.3,9
38102,Share-3dgVYu,711.8,3
38103,Share-3Xzk9t,899.6,6
38104,Share-0K0CfQ,821.2,1
38105,Share-wK5M9q,932.4,18
38106,Share-jHt8pt,749.6,19
38107,Share-mhxgSn,666.7,11
38108,Share-fDkkFi,327.1,4
38109,Share-RDWJQo,469.7,2
38110,Share-TqN7VZ,185.9,14
38111,Share-KAJO2w,372.7,10
38112,Share-IalGy8,262.9,1
38113,Share-1m05PX,831.8,1
38114,Share-ISPwQ0,221.1,12
38115,Share-ecjfhd,333.7,6
38116,Share-zzFS2v,947.6,19
38117,Share-ztr7N9,800.6,6
38118,Share-2X3GSy,357.4,14
38119,Share-wtRPl4,347.0,15
38120,Share-uv7eWY,465.1,12
38121,Share-xMKDS2,408.4,16
38122,Share-TtuFfH,627.6,18
38123,Share-xakoRf,456.8,12
38124,Share-DUUEIU,789.6,18
38125,Share-iDWBSF,680.2,7
38126,Share-cSrjFL,686.5,4
38127,Share-k2de1H,332.4,6
38128,Share-5CUVLF,805.4,18
38129,Share-Asl1wr,356.9,1
38130,Share-O4ZAOY,524.1,11
38131,Share-sfBtaa,11.8,3
38132,Share-ptmCSA,553.9,7
38133,Share-CBVq8y,565.1,12
38134,Share-W5oeHp,821.3,5
38135,Share-giB2zY,159.7,1
38136,Share-fIJXxF,721.7,7
38137,Share-cyOJLz,755.3,4
38138,Share-Y6qVnw,674.7,18
38139,Share-AdIqJ1,92.7,14
38140,Share-igW3IC,219.5,12
38141,Share-tHWpcF,991.4,5
38142,Share-Jr79ER,63.6,5
38143,Share-EIMUBw,23.2,2
38144,Share-SznuwB,838.7,6
38145,Share-mTcgLg,633.3,15
38146,Share-x8flEc,197.8,9
38147,Share-fMEl7T,609.5,10
38148,Share-vMIhal,980.6,18
38149,Share-5x3PTT,259.9,19
38150,Share-xkxagB,797.6,6
38151,Share-RIqvwg,21.3,5
38152,Share-B8BeBX,807.1,10
38153,Share-Tnusuy,206.4,17
38154,Share-xas7sg,446.8,2
38155,Share-P4BAkw,968.1,15
38156,Share-7CrRKy,392.8,12
38157,Share-4m9hRF,196.0,3
38158,Share-IQ21iH,9.7,11
38159,Share-Lbiwa2,673.2,3
38160,Share-RDvB8Q,354.0,17
38161,Share-94CRu9,821.6,1
38162,Share-kyt2Os,102.3,17
38163,Share-ag3zWk,245.5,4
38164,Share-dSSI0K,199.3,3
38165,Share-Cmmu5w,763.6,8
38166,Share-uP0DIZ,850.3,16
38167,Share-UR0zwm,492.1,1
38168,Share-wvdgDs,263.1,16
38169,Share-wOWy8A,25.4,6
38170,Share-1KVYgf,571.8,16
38171,Share-DhUl1V,388.9,2
38172,Share-pRF4TU,9.7,18
38173,Share-I2UtlN,307.9,10
38174,Share-oOkWHV,539.3,2
38175,Share-IhzsrI,868.0,13
38176,Share-yzqh6X,398.6,8
38177,Share-W33uSy,53.1,12
38178,Share-UGTYGe,345.1,1
38179,Share-tQTZ77,207.5,4
38180,Share-2MLZjj,602.1,18
38181,Share-S6ccQf,136.5,15
38182,Share-RoF1zj,950.6,19
38183,Share-Kp4MMZ,162.1,3
38184,Share-qd0dk9,710.1,11
38185,Share-EOflN6,729.1,3
38186,Share-SeWjbr,710.4,1
38187,Share-fN29iy,58.9,18
38188,Share-1Gs1f9,25.0,9
38189,Share-b2MJzB,855.6,10
38190,Share-18TcSe,659.4,13
38191,Share-gLydNF,22.5,10
38192,Share-jUVFLO,376.6,15
38193,Share-grGlcb,65.3,4
38194,Share-vMfuxc,327.1,13
38195,Share-5StxuR,198.2,12
38196,Share-QECeeG,632.6,10
38197,Share-5qa0y9,995.5,1
38198,Share-752ezO,392.3,15
38199,Share-rALeCl,669.8,6
38200,Share-MwYjs4,667.0,9
38201,Share-TC2MYc,759.2,7
38202,Share-YvZAv5,858.5,16
38203,Share-xmbn0Z,616.3,4
38204,Share-cmzaAk,549.6,12
38205,Share-MIsNUM,640.9,7
38206,Share-lkz6Tj,967.8,12
38207,Share-7vXUT0,872.2,17
38208,Share-hE7twG,463.5,3
38209,Share-zrHuDG,734.5,10
38210,Share-v65frQ,469.4,17
38211,Share-mzt11T,971.8,8
38212,Share-HlvK98,225.7,3
38213,Share-cfNvuZ,255.5,18
38214,Share-y7qoAf,125.4,8
38215,Share-8ZNa73,530.2,5
38216,Share-gQZkUo,66.1,1
38217,Share-c3uveP,559.1,2
38218,Share-JE3Fl5,153.9,19
38219,Share-6oUVNs,374.1,7
38220,Share-myft6I,891.9,11
38221,Share-Q0aaVl,626.5,16
38222,Share-fUiLOG,689.2,8
38223,Share-r6AQ80,858.7,10
38224,Share-Thyotw,265.8,13
38225,Share-rgeqKu,196.5,9
38226,Share-pMFCU3,541.5,10
38227,Share-b3MLC1,530.9,10
38228,Share-DUFlTC,405.0,13
38229,Share-p1SRn5,536.8,10
38230,Share-G7KQaO,22.6,11
38231,Share-Y4bICB,295.4,18
38232,Share-Qy2JX0,456.7,12
38233,Share-ifN02R,111.6,12
38234,Share-jJO2gu,111.9,9
38235,Share-SHrzfq,538.9,5
38236,Share-mP99nc,992.4,7
38237,Share-HgaM9o,773.0,6
38238,Share-zbdXSD,269.8,15
38239,Share-39glbX,445.2,15
38240,Share-EvC3Hb,66.5,4
38241,Share-owUmJA,218.8,16
38242,Share-vTbEdK,684.2,7
38243,Share-6w4EfW,475.3,5
38244,Share-iSllfr,999.3,15
38245,Share-gzCqGr,915.3,8
38246,Share-uXug9D,886.7,17
38247,Share-BxktDj,305.6,14
38248,Share-U53HRQ,165.2,15
38249,Share-DnPb5m,141.7,17
38250,Share-jbGKWI,463.6,19
38251,Share-1Fngye,727.4,1
38252,Share-AaY1wu,918.8,17
38253,Share-GV14V1,592.8,13
38254,Share-xC3wAA,977.1,17
38255,Share-wlF2by,103.8,12
38256,Share-JMD6mk,386.3,14
38257,Share-2xJF6c,246.4,5
38258,Share-3F9C9n,793.5,12
38259,Share-onEOaP,295.1,16
38260,Share-1eiDG4,143.4,8
38261,Share-vJGS1a,962.6,7
38262,Share-qSOjEs,102.2,15
38263,Share-GRJZZt,941.9,6
38264,Share-eqEya2,626.7,15
38265,Share-yyQTWr,363.2,7
38266,Share-iGyw8s,428.6,5
38267,Share-TKFKKp,6.5,2
38268,Share-oMWUL5,444.3,16
38269,Share-gCstrb,762.4,3
38270,Share-uo85Ui,754.4,16
38271,Share-As6fRb,760.6,10
38272,Share-pWAJfX,916.3,10
38273,Share-Qx66Aw,760.1,5
38274,Share-y88Kit,777.4,9
38275,Share-ZqP7S3,239.3,7
38276,Share-r7uAeE,595.8,12
38277,Share-S8xCQz,205.3,5
38278,Share-YXCpiR,641.9,11
38279,Share-WDx1Wp,534.6,8
38280,Share-oYkHRU,756.2,1
38281,Share-HkseG8,61.4,14
38282,Share-51uTML,439.5,16
38283,Share-xBmmn6,203.9,2
38284,Share-ucY8Ai,308.0,7
38285,Share-yMXGbI,72.7,13
38286,Share-E62PNF,62.5,5
38287,Share-W2dAq7,662.2,6
38288,Share-kQCIHB,179.0,10
38289,Share-o9fRLs,465.7,18
38290,Share-BgxXQa,295.2,2
38291,Share-azev7b,572.5,1
38292,Share-CgS6Wv,385.7,13
38293,Share-DYhSi4,941.3,12
38294,Share-WeGyXz,670.9,12
38295,Share-EqKXcO,690.2,10
38296,Share-lLR6kb,557.6,11
38297,Share-Kwm9df,254.0,1
38298,Share-09cOzK,467.5,13
38299,Share-NZttEu,905.3,1
38300,Share-GRUPUR,325.3,13
38301,Share-w6WxHk,514.0,2
38302,Share-ahqmgw,305.0,14
38303,Share-GyT36d,263.4,3
38304,Share-xSH92T,751.4,19
38305,Share-PdtZMz,248.1,4
38306,Share-9Ot5cY,155.6,10
38307,Share-7ghtaO,158.9,5
38308,Share-Q3qOho,628.3,2
38309,Share-0k78mr,386.0,13
38310,Share-Tfu5RB,854.8,9
38311,Share-NPZrwy,977.4,2
38312,Share-0IjPJ7,615.5,3
38313,Share-ugCN5x,928.0,1
38314,Share-SQl25B,97.7,16
38315,Share-JbPz93,476.4,17
38316,Share-9d1bUR,608.4,19
38317,Share-AFfOsZ,598.4,3
38318,Share-Q7RkjI,188.6,7
38319,Share-ESWELz,859.7,7
38320,Share-KvKeKQ,292.1,4
38321,Share-w50zFh,460.7,12
38322,Share-KKtMjp,72.1,4
38323,Share-8ei0aW,938.7,16
38324,Share-SlJ4Lv,933.9,17
38325,Share-PEFnNf,256.7,6
38326,Share-LikaYk,130.5,14
38327,Share-FRTAyI,26.1,13
38328,Share-KhRCbB,938.6,3
38329,Share-V1c56U,851.7,11
38330,Share-Qg5e6n,299.0,1
38331,Share-weHjli,768.6,6
38332,Share-bhLX6D,620.8,8
38333,Share-tZJ86Y,926.9,2
38334,Share-vs6P4m,601.5,16
38335,Share-DHQhkf,212.3,7
38336,Share-gaWVSH,553.9,5
38337,Share-nE5qbj,893.0,14
38338,Share-AVUJYC,82.4,2
38339,Share-kkQyrN,413.2,4
38340,Share-Fwa5CP,640.7,2
38341,Share-8ZyCuu,898.9,16
38342,Share-2WLEBD,753.7,12
38343,Share-SwuTDw,276.7,18
38344,Share-wZb88i,270.7,12
38345,Share-6WDz3v,830.7,5
38346,Share-gORk0a,260.0,13
38347,Share-mpUL0I,82.0,17
38348,Share-DELnLt,176.5,19
38349,Share-IOFREc,592.3,1
38350,Share-pu3S2C,364.2,10
38351,Share-JXJQMm,523.2,13
38352,Share-4J3Sf3,455.4,14
38353,Share-zudHWK,3.2,17
38354,Share-8AsZ9j,545.3,12
38355,Share-qNMm8D,204.8,15
38356,Share-0l031p,72.2,15
38357,Share-obwelN,305.6,12
38358,Share-LOBLdx,149.2,4
38359,Share-KKjgTV,805.3,12
38360,Share-w2Q2kb,845.5,14
38361,Share-oZeGZt,177.9,6
38362,Share-QCWQng,120.2,17
38363,Share-pm6XxB,526.2,9
38364,Share-CZ4U2p,694.1,9
38365,Share-cKivAS,761.3,4
38366,Share-2NC1Tp,31.3,18
38367,Share-bNSsPo,335.3,5
38368,Share-JzdqQz,385.4,18
38369,Share-V7llZT,348.9,19
38370,Share-sBA23P,969.0,12
38371,Share-ZJGTsQ,181.6,17
38372,Share-0Ei86s,769.5,7
38373,Share-dOZlrP,928.6,13
38374,Share-Svy4il,173.1,5
38375,Share-SS8ZOQ,592.3,9
38376,Share-x7tZP6,907.5,12
38377,Share-L1I77Q,218.9,13
38378,Share-M5euUG,910.7,1
38379,Share-1OxG5x,152.3,7
38380,Share-rFPUdX,297.0,5
38381,Share-QjU8hv,4.8,18
38382,Share-Y70NKc,61.0,7
38383,Share-oeYqaC,253.4,6
38384,Share-DejAU4,813.4,1
38385,Share-rX6SVg,390.6,5
38386,Share-kOqmnp,285.1,12
38387,Share-HLba9J,445.3,17
38388,Share-KPKn89,839.2,3
38389,Share-NElX44,857.8,12
38390,Share-u1ZwUH,925.9,6
38391,Share-4Si6lI,790.7,6
38392,Share-fjeEBS,605.1,10
38393,Share-ud3rV0,511.5,15
38394,Share-Bm38Rq,976.5,7
38395,Share-L8S9mM,294.5,14
38396,Share-xi4IDl,714.5,2
38397,Share-r2yzmT,526.0,3
38398,Share-1JswS8,883.5,13
38399,Share-mXKF0p,65.6,10
38400,Share-ur2lJD,537.0,12
38401,Share-5AfKfT,213.4,13
38402,Share-eUFwsN,371.5,15
38403,Share-6IC71R,726.8,18
38404,Share-Wq7rZU,921.9,17
38405,Share-P4gU2j,833.1,1
38406,Share-8LqoOB,406.3,11
38407,Share-nA743h,454.1,1
38408,Share-l92ubo,383.0,18
38409,Share-mUmSoe,489.2,4
38410,Share-SjEcGN,95.1,9
38411,Share-wuKjsD,796.9,8
38412,Share-KccXbM,222.4,2
38413,Share-wWCUNF,334.5,15
38414,Share-OwQHfS,433.4,8
38415,Share-vPlI6l,323.9,1
38416,Share-4NkfdA,774.6,16
38417,Share-JXXELE,773.9,3
38418,Share-dya0cY,640.2,7
38419,Share-VV5r5f,401.2,12
38420,Share-C0gSf3,698.5,18
38421,Share-PcGOe8,467.0,6
38422,Share-I6qskq,579.5,18
38423,Share-jpVUrl,514.4,15
38424,Share-Etd3BG,445.3,7
38425,Share-JGJJAx,262.5,3
38426,Share-ISWXt8,481.1,2
38427,Share-8k1d9A,886.9,17
38428,Share-Kp82i6,448.7,4
38429,Share-p3jLl5,369.5,15
38430,Share-RTWfpc,363.8,17
38431,Share-QOQxhh,716.3,14
38432,Share-6OY2ke,728.1,13
38433,Share-aYWwhq,375.9,14
38434,Share-jHPunM,443.7,8
38435,Share-dl1S3i,0.9,5
38436,Share-2XZtC1,369.4,1
38437,Share-lSSlZ2,438.1,7
38438,Share-aTE0fS,50.7,1
38439,Share-nrsC2u,675.2,11
38440,Share-6WwIsy,122.7,12
38441,Share-rQMa9g,125.2,10
38442,Share-3hDXzc,927.9,11
38443,Share-Ho82mo,303.9,12
38444,Share-jJjp6C,815.8,8
38445,Share-bquFyc,552.7,8
38446,Share-uHUJQ1,502.2,11
38447,Share-UdWWbo,437.8,1
38448,Share-rdvZNz,839.1,1
38449,Share-AIigNy,153.2,15
38450,Share-6OYiFy,82.8,5
38451,Share-KPyPFK,49.5,8
38452,Share-jLzvqG,105.2,13
38453,Share-oj3UXE,394.4,6
38454,Share-espB4c,389.6,12
38455,Share-G0C3hp,793.0,10
38456,Share-Ne98Sk,183.2,14
38457,Share-hXN8gw,691.5,17
38458,Share-gzcQAd,488.3,9
38459,Share-zbTHyd,755.6,14
38460,Share-Ev8ibX,0.0,7
38461,Share-bqCpjG,512.3,4
38462,Share-nTvQdJ,597.4,10
38463,Share-1eZw5a,768.9,9
38464,Share-z4hf8Y,916.6,13
38465,Share-TSecOs,583.4,8
38466,Share-4MsZ26,220.3,18
38467,Share-cnktYj,70.3,14
38468,Share-R8MHCu,341.4,9
38469,Share-9ussMe,191.2,17
38470,Share-UAWEks,988.8,14
38471,Share-z11lvR,600.6,7
38472,Share-YuBvcr,267.7,16
38473,Share-h1mezg,582.5,15
38474,Share-MvwnuD,309.7,4
38475,Share-IZ3MeO,454.8,11
38476,Share-a8yqbN,882.6,2
38477,Share-Vjjgme,31.0,9
38478,Share-z1sXDG,736.5,13
38479,Share-7Bh4uj,199.5,15
38480,Share-S22P2s,7.6,15
38481,Share-F5yBBC,503.6,6
38482,Share-lu1i2h,390.4,8
38483,Share-vQSjnd,542.2,18
38484,Share-sbmQ7M,71.2,17
38485,Share-eSNGQE,268.2,1
38486,Share-QZHEu0,993.4,8
38487,Share-lOrxk6,135.6,13
38488,Share-MKk6V9,591.0,7
38489,Share-pBTtUt,592.5,16
38490,Share-YJo9Di,172.7,7
38491,Share-YmYBFy,672.2,4
38492,Share-O85Xrr,143.4,8
38493,Share-8yvvVn,990.4,4
38494,Share-iRs6Af,184.0,3
38495,Share-RKxlDo,547.6,16
38496,Share-zzHCvq,590.8,4
38497,Share-Jl6NI2,361.8,6
38498,Share-L9oYkh,3.9,18
38499,Share-iV2v1S,851.6,3
38500,Share-wNFonC,896.4,3
38501,Share-6GC8fb,754.1,2
38502,Share-BLVP6I,493.2,16
38503,Share-as2KGr,314.2,11
38504,Share-6uCte4,507.6,6
38505,Share-AMYN0n,142.2,4
38506,Share-9MTn8R,288.1,3
38507,Share-kEJd1b,391.4,14
38508,Share-BM9EnG,586.5,11
38509,Share-QcgEil,766.5,15
38510,Share-LCqf4q,555.8,17
38511,Share-VazVMn,323.2,16
38512,Share-TJUsVz,410.4,6
38513,Share-qk96WS,286.7,4
38514,Share-Hqcxfz,721.1,8
38515,Share-moW28y,962.4,17
38516,Share-EER5xS,837.9,11
38517,Share-zNfYis,651.2,17
38518,Share-BvlTzP,495.2,7
38519,Share-2P3qBk,669.5,4
38520,Share-Z6fHi9,890.9,11
38521,Share-IAWL8n,585.1,17
38522,Share-y2M3JP,399.1,2
38523,Share-whtamE,742.4,5
38524,Share-7xmw2A,808.4,9
38525,Share-wtlPVs,244.8,11
38526,Share-GF07S5,370.9,6
38527,Share-YqcFf0,342.8,12
38528,Share-sNPhHb,806.3,14
38529,Share-5niSDA,155.1,5
38530,Share-Nb12Bi,405.1,9
38531,Share-C0ayY6,440.8,11
38532,Share-tMS9Sh,300.9,10
38533,Share-1TdVH8,407.4,11
38534,Share-pawwyy,543.4,9
38535,Share-Haw5XT,766.9,14
38536,Share-kTkIWO,915.6,7
38537,Share-4knfnO,364.1,15
38538,Share-1KArcG,764.3,10
38539,Share-kubRGx,354.1,3
38540,Share-NyC4xt,531.9,7
38541,Share-0lYIXn,665.2,12
38542,Share-tVB237,623.9,8
38543,Share-3SSITi,344.8,17
38544,Share-LWi6Va,191.6,13
38545,Share-xFEK49,655.3,19
38546,Share-K4AxWK,787.0,8
38547,Share-yOrJmC,585.3,15
38548,Share-D6Giem,200.1,8
38549,Share-icO8br,605.4,16
38550,Share-m4Rili,881.8,17
38551,Share-z2qVk9,821.0,10
38552,Share-WIRf0L,328.7,4
38553,Share-FHIs55,133.7,15
38554,Share-wpcLdq,900.7,12
38555,Share-9YFUhb,624.6,17
38556,Share-oBFIVd,327.2,9
38557,Share-BAnx1E,584.4,16
38558,Share-91EJhf,31.4,11
38559,Share-QV44ob,353.2,1
38560,Share-WxCvqW,410.3,10
38561,Share-kLXZqB,782.0,8
38562,Share-aF7P8w,804.5,10
38563,Share-40wxOe,34.1,9
38564,Share-LVtXuu,931.0,11
38565,Share-tX5vpj,879.0,2
38566,Share-DqwxbB,363.7,13
38567,Share-wwy3r0,550.0,17
38568,Share-Mim0wS,507.3,2
38569,Share-sXdlby,251.1,11
38570,Share-XsVvDS,623.9,18
38571,Share-2CZvQp,65.0,6
38572,Share-NnjYjd,909.3,2
38573,Share-chSVgf,432.7,1
38574,Share-rinMrj,524.4,9
38575,Share-aswFkE,455.5,17
38576,Share-facyRP,343.2,4
38577,Share-6ndutk,365.6,9
38578,Share-GdgQKo,198.2,10
38579,Share-Q2j3w3,679.7,15
38580,Share-pBltOc,300.7,4
38581,Share-MZEedL,495.1,13
38582,Share-peSfHK,837.7,11
38583,Share-x3iKpf,934.3,5
38584,Share-mufAy7,49.7,17
38585,Share-zMldNn,669.7,7
38586,Share-XOEnop,626.0,15
38587,Share-1sZMX8,572.4,2
38588,Share-V2f0xj,183.6,8
38589,Share-3zmjaJ,916.8,18
38590,Share-sSwOPL,654.9,1
38591,Share-2Ut9TT,86.2,17
38592,Share-6VNZ2c,119.4,7
38593,Share-B8j8Ae,370.1,9
38594,Share-7gofZ0,602.1,14
38595,Share-kUQfRI,926.7,18
38596,Share-LubW5p,704.7,8
38597,Share-A1RAWO,130.3,10
38598,Share-Fn0FKE,167.6,18
38599,Share-tk9EDv,661.3,10
38600,Share-8aIyd5,186.7,12
38601,Share-5s15YT,174.0,10
38602,Share-WyeoSL,946.0,16
38603,Share-GtcRhu,686.2,2
38604,Share-iYwRJ9,322.3,5
38605,Share-j12lve,429.3,10
38606,Share-2SrnJA,232.7,11
38607,Share-3SsCcs,175.8,18
38608,Share-OopeGi,358.1,10
38609,Share-uF05UV,498.9,12
38610,Share-S4CgKZ,958.8,17
38611,Share-t9NUFW,263.8,19
38612,Share-BEuPcX,81.6,13
38613,Share-s7OGXs,741.1,4
38614,Share-FjsUc6,936.5,15
38615,Share-NxVn91,98.2,17
38616,Share-0zSVD7,832.6,14
38617,Share-5ytmdt,850.5,19
38618,Share-6z5aZn,289.9,15
38619,Share-TyhDhA,548.1,16
38620,Share-XcFBdp,157.2,4
38621,Share-CoKYai,193.3,18
38622,Share-VzLHiZ,790.4,4
38623,Share-BOR0EP,684.3,2
38624,Share-oxzA7a,604.3,9
38625,Share-ks5mGD,907.6,2
38626,Share-Rt13mE,576.3,16
38627,Share-9vQxVU,660.8,19
38628,Share-a7wmdf,497.1,1
38629,Share-MJ0fUb,557.6,8
38630,Share-YLrdkp,747.8,1
38631,Share-bNUeVa,618.9,16
38632,Share-FHTvvy,558.9,14
38633,Share-CbNwBY,544.6,5
38634,Share-lhgZKe,218.8,9
38635,Share-7W8oWd,954.3,19
38636,Share-7vYC1v,54.6,13
38637,Share-qOkdM4,242.9,8
38638,Share-JXzsCy,763.0,16
38639,Share-5CeI2Z,161.1,6
38640,Share-2LW319,937.1,16
38641,Share-OGuTbv,148.9,10
38642,Share-0Rzajx,841.5,2
38643,Share-NGC1h1,388.9,3
38644,Share-0Daamt,814.4,13
38645,Share-Kg6oLT,330.3,9
38646,Share-v3mO6I,406.0,3
38647,Share-OU6pqk,711.9,10
38648,Share-ZVudlV,390.5,1
38649,Share-eyOmTN,870.6,8
38650,Share-wfwqJ7,797.7,13
38651,Share-uR4Kvr,662.0,10
38652,Share-QmM7xu,801.6,14
38653,Share-7SMCLs,526.9,1
38654,Share-UD3ihE,520.0,10
38655,Share-znWpEi,532.6,10
38656,Share-pw9KHa,134.2,11
38657,Share-Bpm565,766.6,7
38658,Share-GkGJC4,810.5,3
38659,Share-1z6arl,393.9,15
38660,Share-QudIAM,754.6,4
38661,Share-TdK7pR,516.6,5
38662,Share-a2Vn9E,272.3,18
38663,Share-Po95po,713.0,3
38664,Share-OuiuYV,825.6,7
38665,Share-F81Zn2,643.4,1
38666,Share-jhQNzt,781.3,6
38667,Share-wlQjH7,298.3,7
38668,Share-SRc5v1,610.6,4
38669,Share-Q847Jv,927.1,13
38670,Share-EIjdVV,996.6,16
38671,Share-E6c4hk,302.3,19
38672,Share-PXU7aT,661.8,16
38673,Share-oDVkOg,164.0,14
38674,Share-ssqdqW,106.1,13
38675,Share-ZqkTmb,900.2,4
38676,Share-PiNxIn,293.2,13
38677,Share-JWt5bc,359.6,1
38678,Share-anC3W9,928.9,13
38679,Share-vpxasi,251.3,16
38680,Share-1LeEXQ,360.1,19
38681,Share-VV2AYK,222.4,13
38682,Share-WcZlc0,255.8,5
38683,Share-VcBpUz,224.7,6
38684,Share-sXB0q4,206.1,11
38685,Share-nVMA8d,333.0,19
38686,Share-j5C3w4,325.2,11
38687,Share-CcwcG7,845.2,18
38688,Share-nYfLBp,519.9,10
38689,Share-oFx16N,639.6,14
38690,Share-6jkQoj,242.7,6
38691,Share-1xFMx6,46.4,12
38692,Share-BNWBg2,979.5,11
38693,Share-s0EKai,754.3,11
38694,Share-OB8iyo,702.0,13
38695,Share-nDPi7A,773.3,18
38696,Share-wVTinU,365.1,12
38697,Share-2CwDLC,753.0,14
38698,Share-fIJuIj,683.6,10
38699,Share-BjAkIO,891.2,18
38700,Share-Tj5Sjp,782.0,11
38701,Share-gDyJ60,196.2,12
38702,Share-6cvXvY,316.6,4
38703,Share-EczNBJ,270.0,8
38704,Share-9uJQQK,258.0,6
38705,Share-dNqqud,119.5,4
38706,Share-VXJAGf,620.6,7
38707,Share-Nx6DNH,521.8,7
38708,Share-hOWtoo,599.5,10
38709,Share-UGZEVu,837.6,5
38710,Share-GOWXIp,72.4,8
38711,Share-cqevCh,174.1,14
38712,Share-uKL31b,810.5,15
38713,Share-OC9Tcm,535.6,6
38714,Share-oXNidy,361.2,1
38715,Share-vh8CUp,877.8,7
38716,Share-EeVQef,283.5,13
38717,Share-uWxBkO,61.5,6
38718,Share-1qN5RU,338.6,19
38719,Share-5ePPxb,810.8,17
38720,Share-yvUouG,928.0,12
38721,Share-tlJ0p1,988.3,8
38722,Share-n8XjBp,585.9,10
38723,Share-Ce7RZa,655.7,18
38724,Share-P370R1,409.0,1
38725,Share-8mHQii,309.9,9
38726,Share-VuDUWb,107.3,11
38727,Share-9fEYMj,663.4,3
38728,Share-ltdzBE,926.4,10
38729,Share-DE6ucV,0.6,1
38730,Share-exeSGZ,313.0,11
38731,Share-lCnAj1,168.9,1
38732,Share-SvenwU,766.8,11
38733,Share-9r2DkU,647.7,6
38734,Share-iMup2e,139.4,7
38735,Share-NGaqme,850.0,11
38736,Share-JWs4Zl,622.4,9
38737,Share-umkSCW,696.1,13
38738,Share-L6G9cN,728.8,10
38739,Share-V3CPFq,467.0,17
38740,Share-74U6qE,203.0,4
38741,Share-mTeGNR,434.8,10
38742,Share-iCUXDF,961.3,5
38743,Share-mJt4BE,135.1,7
38744,Share-6vbinm,785.0,3
38745,Share-Gde9Eb,414.5,16
38746,Share-rha3wA,813.9,15
38747,Share-dRDcV2,153.6,14
38748,Share-6vBmQJ,347.8,6
38749,Share-rNN5Nw,716.2,18
38750,Share-tdoY3W,805.9,7
38751,Share-j1TKVa,52.3,2
38752,Share-KZOuVC,17.1,3
38753,Share-YPGDSQ,434.9,18
38754,Share-fuTuws,445.9,12
38755,Share-xAvbq6,474.3,5
38756,Share-SngDHs,828.4,17
38757,Share-UbdlPE,235.3,13
38758,Share-psa2X9,551.9,9
38759,Share-RgbwyO,86.5,6
38760,Share-hpmD5w,127.0,6
38761,Share-5hTzPj,324.2,11
38762,Share-nIbnBV,909.8,14
38763,Share-ffAMxX,384.6,6
38764,Share-EA3aoF,473.9,10
38765,Share-MzZtKj,693.7,6
38766,Share-JcUTd2,288.4,16
38767,Share-nuvkZo,99.0,19
38768,Share-7Ne1im,506.5,18
38769,Share-2GCflS,53.9,9
38770,Share-RZFe3L,910.3,15
38771,Share-LryGTt,220.9,2
38772,Share-BJDJbY,834.9,17
38773,Share-IJ7Vjw,53.2,9
38774,Share-xJLu1T,460.7,1
38775,Share-jUnVAs,5.7,4
38776,Share-zqH5JR,148.2,9
38777,Share-wvlcJ6,514.1,7
38778,Share-XxTPPy,462.3,10
38779,Share-chJip1,805.8,3
38780,Share-5j0ctq,74.8,4
38781,Share-vUwr1K,115.1,18
38782,Share-eOzRiF,694.7,15
38783,Share-ZWXjdN,806.6,15
38784,Share-qS3rBq,871.8,9
38785,Share-rP84k6,334.9,5
38786,Share-lElQ5S,199.0,5
38787,Share-EZvNa6,334.9,1
38788,Share-98jQA3,129.1,8
38789,Share-cnANwB,927.6,18
38790,Share-9meBCi,549.7,8
38791,Share-Ht02XD,102.4,7
38792,Share-lSJseI,485.6,14
38793,Share-FhibiR,152.7,3
38794,Share-9Sj3Mx,884.1,9
38795,Share-6fqKY6,652.7,3
38796,Share-Q1wZTA,924.6,17
38797,Share-HSTVwV,620.1,19
38798,Share-Aji1OR,557.6,5
38799,Share-qzL7RI,236.5,3
38800,Share-C6NrZh,22.7,12
38801,Share-MoE7Uo,388.5,10
38802,Share-JudFVD,142.9,11
